【加纳】-DM
中天綜合,vjms://23.237.32.182:8500:9980/live/cid=341
中天娛樂,vjms://23.237.32.182:8500:9980/live/cid=350
八大綜合,vjms://23.237.32.182:8500:9980/live/cid=354
八大第一,vjms://23.237.32.182:8500:9980/live/cid=441
八大戏剧,vjms://23.237.32.182:8500:9980/live/cid=110
三立新闻,vjms://23.237.32.182:8500:9980/live/cid=352
三立都會,vjms://23.237.32.182:8500:9980/live/cid=226
三立臺湾,vjms://23.237.32.182:8500:9980/live/cid=437
博斯高球,vjms://23.237.32.182:8500:9980/live/cid=265
國興衛視,vjms://23.237.32.182:8500:9980/live/cid=424
迪士尼卡通,vjms://23.237.32.182:8500:9980/live/cid=361
好消息2,vjms://23.237.32.182:8500:9980/live/cid=447
HBOHD,vjms://23.237.32.182:8500:9980/live/cid=261
HBO原创,vjms://23.237.32.182:8500:9980/live/cid=236
HBO強檔,vjms://23.237.32.182:8500:9980/live/cid=238
HBO溫馨,vjms://23.237.32.182:8500:9980/live/cid=181
TVBS HD,vjms://23.237.32.182:8500:9980/live/cid=349
TVBS新聞臺,vjms://23.237.32.182:8500:9980/live/cid=348
TVBS歡樂臺,vjms://23.237.32.182:8500:9980/live/cid=438
ELTA體育HD,vjms://23.237.32.182:8500:9980/live/cid=266
TLC旅游生活,vjms://23.237.32.182:8500:9980/live/cid=103
法國國際五臺,vjms://23.237.32.182:8500:9980/live/cid=396
東森財經新闻,vjms://23.237.32.182:8500:9980/live/cid=456
國家地理HD,vjms://23.237.32.182:8500:9980/live/cid=115
國家地理野生,vjms://23.237.32.182:8500:9980/live/cid=263
CCTV-1,vjms://23.237.32.182:8500:9980/live/cid=331
CCTV-2,vjms://23.237.32.182:8500:9980/live/cid=388
CCTV-3,vjms://23.237.32.182:8500:9980/live/cid=448
CCTV-4,vjms://23.237.32.182:8500:9980/live/cid=449
CCTV-5,vjms://23.237.32.182:8500:9980/live/cid=353
CCTV-5+,vjms://23.237.32.182:8500:9980/live/cid=334
CCTV-6,vjms://23.237.32.182:8500:9980/live/cid=357
CCTV-7,vjms://23.237.32.182:8500:9980/live/cid=459
CCTV-8,vjms://23.237.32.182:8500:9980/live/cid=460
CCTV-9,vjms://23.237.32.182:8500:9980/live/cid=461
CCTV-10,vjms://23.237.32.182:8500:9980/live/cid=462
CCTV-11,vjms://23.237.32.182:8500:9980/live/cid=463
CCTV-12,vjms://23.237.32.182:8500:9980/live/cid=464
CCTV-13,vjms://23.237.32.182:8500:9980/live/cid=466
CCTV-14,vjms://23.237.32.182:8500:9980/live/cid=467
CCTV-15,vjms://23.237.32.182:8500:9980/live/cid=465
CCTV風雲足球,vjms://23.237.32.182:8500:9980/live/cid=88
廣東衛視,vjms://23.237.32.182:8500:9980/live/cid=86
湖南衛視,vjms://23.237.32.182:8500:9980/live/cid=490
江蘇衛視,vjms://23.237.32.182:8500:9980/live/cid=485
東方衛視,vjms://23.237.32.182:8500:9980/live/cid=487
深圳衛視,vjms://23.237.32.182:8500:9980/live/cid=87
北京衛視,vjms://23.237.32.182:8500:9980/live/cid=472
浙江衛視,vjms://23.237.32.182:8500:9980/live/cid=488
安徽衛視,vjms://23.237.32.182:8500:9980/live/cid=471
廣東體育,vjms://23.237.32.182:8500:9980/live/cid=336
求索生活,vjms://23.237.32.182:8500:9980/live/cid=471
體育NBA,,vjms://23.237.32.182:8500:9980/live/cid=227
體育博斯高球,vjms://23.237.32.182:8500:9980/live/cid=265
體育ELTA,vjms://23.237.32.182:8500:9980/live/cid=266
體育FOX3HD,vjms://23.237.32.182:8500:9980/live/cid=95
體育FOX2 Sports,vjms://23.237.32.182:8500:9980/live/cid=444
AXN,vjms://23.237.32.182:8500:9980/live/cid=2
BBC,vjms://23.237.32.182:8500:9980/live/cid=418
CNN,vjms://23.237.32.182:8500:9980/live/cid=428
NBA,vjms://23.237.32.182:8500:9980/live/cid=227
MLB,vjms://23.237.32.182:8500:9980/live/cid=228
CNBC,vjms://23.237.32.182:8500:9980/live/cid=98
FOX1,vjms://23.237.32.182:8500:9980/live/cid=97
FOX2,vjms://23.237.32.182:8500:9980/live/cid=444
FOX3,vjms://23.237.32.182:8500:9980/live/cid=95
CN卡通,vjms://23.237.32.182:8500:9980/live/cid=422
StarMovies,vjms://23.237.32.182:8500:9980/live/cid=94
DiscoveryAsia,vjms://23.237.32.182:8500:9980/live/cid=440
DiscoveryScience,vjms://23.237.32.182:8500:9980/live/cid=457
DiscoveryChannel,vjms://23.237.32.182:8500:9980/live/cid=3
日本电视台,vjms://23.237.32.182:8500:9980/live/cid=492
日FIGHTING TV,vjms://23.237.32.182:8500:9980/live/cid=408
日-Family theather,vjms://23.237.32.182:8500:9980/live/cid=493
日-kids,vjms://23.237.32.182:8500:9980/live/cid=494
日-J,vjms://23.237.32.182:8500:9980/live/cid=495
日-Discovery,vjms://23.237.32.182:8500:9980/live/cid=496
日-Movie Plus,vjms://23.237.32.182:8500:9980/live/cid=497
日-迪士尼,vjms://23.237.32.182:8500:9980/live/cid=499
日-GOLF NTWORK,vjms://23.237.32.182:8500:9980/live/cid=409
日-Sports ESPN,vjms://23.237.32.182:8500:9980/live/cid=410
日-Sports Plus,vjms://23.237.32.182:8500:9980/live/cid=411
日-Green,vjms://23.237.32.182:8500:9980/live/cid=412
日-GAORA,vjms://23.237.32.182:8500:9980/live/cid=413
日-Sports,vjms://23.237.32.182:8500:9980/live/cid=414
日-sports1,vjms://23.237.32.182:8500:9980/live/cid=415
日-Sports 2,vjms://23.237.32.182:8500:9980/live/cid=416
关西-地面波电视台,vjms://23.237.32.182:8500:9980/live/cid=323
NHK综合CS-NHK-G CS,vjms://23.237.32.182:8500:9980/live/cid=139
Fighting-TV,vjms://23.237.32.182:8500:9980/live/cid=408
GOLF,vjms://23.237.32.182:8500:9980/live/cid=409
J-Sports-3,vjms://23.237.32.182:8500:9980/live/cid=410
J-Sports-4,vjms://23.237.32.182:8500:9980/live/cid=411
BS-GREEN,vjms://23.237.32.182:8500:9980/live/cid=412
GAORA SPORTS,vjms://23.237.32.182:8500:9980/live/cid=413
EX-Sports-TV,vjms://23.237.32.182:8500:9980/live/cid=414
J-Sports-1,vjms://23.237.32.182:8500:9980/live/cid=415
J-Sports-2,vjms://23.237.32.182:8500:9980/live/cid=416
日テレPLUS - NTV-PLUS,vjms://23.237.32.182:8500:9980/live/cid=492
ファミリ?`剧场 - Fami Gekijo HD,vjms://23.237.32.182:8500:9980/live/cid=493
KIDS,vjms://23.237.32.182:8500:9980/live/cid=494
Music-JAPAN,vjms://23.237.32.182:8500:9980/live/cid=495
Discovery,vjms://23.237.32.182:8500:9980/live/cid=496
Movie Plus,vjms://23.237.32.182:8500:9980/live/cid=497
鳳凰中文,vjms://23.237.32.182:8500:5021/live/cid=400
鳳凰資訊,vjms://23.237.32.182:8500:5021/live/cid=401
TVB J2,vjms://23.237.32.182:8500:5021/live/cid=368
TVB J5,vjms://23.237.32.182:8500:5021/live/cid=363
